Epoch,Train Loss,Val Loss
Epoch: 87/1000, Train Loss=0.3570098091, Val Loss=0.4207035303
Epoch: 88/1000, Train Loss=0.3534434296, Val Loss=0.4325498768
Epoch: 89/1000, Train Loss=0.3500382344, Val Loss=0.4367079224
Epoch: 90/1000, Train Loss=0.348763454, Val Loss=0.4305353761
Epoch: 91/1000, Train Loss=0.3471615824, Val Loss=0.4292986166
Epoch: 92/1000, Train Loss=0.344289668, Val Loss=0.4237007045
Epoch: 93/1000, Train Loss=0.3455660722, Val Loss=0.4188176876
Epoch: 94/1000, Train Loss=0.3424207923, Val Loss=0.4227035727
Epoch: 95/1000, Train Loss=0.3396421943, Val Loss=0.420012423
Epoch: 96/1000, Train Loss=0.3363235273, Val Loss=0.4172122053
Epoch: 97/1000, Train Loss=0.3343400221, Val Loss=0.431650017
Epoch: 98/1000, Train Loss=0.3324047114, Val Loss=0.4094483881
Epoch: 99/1000, Train Loss=0.3312858975, Val Loss=0.4198856354
Epoch: 100/1000, Train Loss=0.3275144842, Val Loss=0.4208559025
Epoch: 101/1000, Train Loss=0.325760916, Val Loss=0.4080634202
Epoch: 102/1000, Train Loss=0.3242203755, Val Loss=0.4097903825
Epoch: 103/1000, Train Loss=0.3224670773, Val Loss=0.4136361991
Epoch: 104/1000, Train Loss=0.3189879865, Val Loss=0.4071205116
Epoch: 105/1000, Train Loss=0.3192142982, Val Loss=0.4158777765
Epoch: 106/1000, Train Loss=0.3174120251, Val Loss=0.4012334914
Epoch: 107/1000, Train Loss=0.3136933556, Val Loss=0.4117458264
Epoch: 108/1000, Train Loss=0.3150142637, Val Loss=0.4158000407
Epoch: 109/1000, Train Loss=0.3127570571, Val Loss=0.4160464065
Epoch: 110/1000, Train Loss=0.3097416494, Val Loss=0.4059096348
Epoch: 111/1000, Train Loss=0.3080505168, Val Loss=0.437782299
Epoch: 112/1000, Train Loss=0.3078750139, Val Loss=0.4005102742
Epoch: 113/1000, Train Loss=0.3074744482, Val Loss=0.4203457832
Epoch: 114/1000, Train Loss=0.3025917825, Val Loss=0.4077290268
Epoch: 115/1000, Train Loss=0.3005667021, Val Loss=0.4053637414
Epoch: 116/1000, Train Loss=0.3011532007, Val Loss=0.4047137158
Epoch: 117/1000, Train Loss=0.2982322254, Val Loss=0.3979397728
Epoch: 118/1000, Train Loss=0.2968238774, Val Loss=0.407468177
Epoch: 119/1000, Train Loss=0.2955743489, Val Loss=0.3963664401
Epoch: 120/1000, Train Loss=0.2924232128, Val Loss=0.3959935676
Epoch: 121/1000, Train Loss=0.2918609693, Val Loss=0.4010375029
Epoch: 122/1000, Train Loss=0.2898010797, Val Loss=0.4011290641
Epoch: 123/1000, Train Loss=0.2891142092, Val Loss=0.3931450276
Epoch: 124/1000, Train Loss=0.2868125683, Val Loss=0.3961348108
Epoch: 125/1000, Train Loss=0.28423993, Val Loss=0.3936866437
Epoch: 126/1000, Train Loss=0.2844282286, Val Loss=0.3978370513
Epoch: 127/1000, Train Loss=0.2817884364, Val Loss=0.3852922973
Epoch: 128/1000, Train Loss=0.2821447293, Val Loss=0.399426781
Epoch: 129/1000, Train Loss=0.2806099981, Val Loss=0.3986847145
Epoch: 130/1000, Train Loss=0.2792117643, Val Loss=0.389004625
Epoch: 131/1000, Train Loss=0.2759619312, Val Loss=0.4027235054
Epoch: 132/1000, Train Loss=0.2780452118, Val Loss=0.3927906695
Epoch: 133/1000, Train Loss=0.2746850635, Val Loss=0.3970718157
Epoch: 134/1000, Train Loss=0.2720315926, Val Loss=0.3889124365
Epoch: 135/1000, Train Loss=0.2705464055, Val Loss=0.3916183057
Epoch: 136/1000, Train Loss=0.2683818376, Val Loss=0.396344341
Epoch: 137/1000, Train Loss=0.2693180462, Val Loss=0.3915532316
Epoch: 138/1000, Train Loss=0.2678863371, Val Loss=0.3871879606
Epoch: 139/1000, Train Loss=0.2662402285, Val Loss=0.3862205857
Epoch: 140/1000, Train Loss=0.2656033714, Val Loss=0.3853618134
Epoch: 141/1000, Train Loss=0.2651137441, Val Loss=0.3917692815
Epoch: 142/1000, Train Loss=0.2633636839, Val Loss=0.3957828965
Epoch: 143/1000, Train Loss=0.2602199257, Val Loss=0.3858160802
Epoch: 144/1000, Train Loss=0.2623545026, Val Loss=0.4013523914
Epoch: 145/1000, Train Loss=0.258704508, Val Loss=0.3867892878
Epoch: 146/1000, Train Loss=0.2566014497, Val Loss=0.3885406057
Epoch: 147/1000, Train Loss=0.2552744541, Val Loss=0.3906755362
Epoch: 148/1000, Train Loss=0.2561209352, Val Loss=0.3750199874
Epoch: 149/1000, Train Loss=0.2522952695, Val Loss=0.3817912539
Epoch: 150/1000, Train Loss=0.2547848098, Val Loss=0.3829634303
Epoch: 151/1000, Train Loss=0.2516427723, Val Loss=0.3761098271
Epoch: 152/1000, Train Loss=0.2495986125, Val Loss=0.3856912539
Epoch: 153/1000, Train Loss=0.2502366245, Val Loss=0.3822927702
Epoch: 154/1000, Train Loss=0.2474394472, Val Loss=0.3831278284
Epoch: 155/1000, Train Loss=0.2471029458, Val Loss=0.3765544352
Epoch: 156/1000, Train Loss=0.2435122634, Val Loss=0.3877986755
Epoch: 157/1000, Train Loss=0.2439673819, Val Loss=0.3838829001
Epoch: 158/1000, Train Loss=0.2442492365, Val Loss=0.3876934875
Epoch: 159/1000, Train Loss=0.2421116229, Val Loss=0.3718174412
Epoch: 160/1000, Train Loss=0.241931455, Val Loss=0.3788548793
Epoch: 161/1000, Train Loss=0.2407182127, Val Loss=0.3812882872
Epoch: 162/1000, Train Loss=0.2400425455, Val Loss=0.3766155129
Epoch: 163/1000, Train Loss=0.237704958, Val Loss=0.3747362835
Epoch: 164/1000, Train Loss=0.2367850724, Val Loss=0.3783780336
Epoch: 165/1000, Train Loss=0.237479742, Val Loss=0.3708741381
Epoch: 166/1000, Train Loss=0.2373984101, Val Loss=0.3790736142
Epoch: 167/1000, Train Loss=0.2357948584, Val Loss=0.3867644582
Epoch: 168/1000, Train Loss=0.232897376, Val Loss=0.3732609976
Epoch: 169/1000, Train Loss=0.2313103853, Val Loss=0.3705599791
Epoch: 170/1000, Train Loss=0.2320133744, Val Loss=0.3751952024
Epoch: 171/1000, Train Loss=0.2287883628, Val Loss=0.3821721418
Epoch: 172/1000, Train Loss=0.230104761, Val Loss=0.3649339392
Epoch: 173/1000, Train Loss=0.2309702643, Val Loss=0.376120749
Epoch: 174/1000, Train Loss=0.2272821167, Val Loss=0.3701467656
Epoch: 175/1000, Train Loss=0.2264148028, Val Loss=0.3719935389
