Epoch,Train Loss,Val Loss
Epoch: 87/1000, Train Loss=0.8344556919, Val Loss=0.8421274651
Epoch: 88/1000, Train Loss=0.834603764, Val Loss=0.8298294459
Epoch: 89/1000, Train Loss=0.8354849715, Val Loss=0.8391062447
Epoch: 90/1000, Train Loss=0.8347433811, Val Loss=0.8321614124
Epoch: 91/1000, Train Loss=0.8336737203, Val Loss=0.8368444954
Epoch: 92/1000, Train Loss=0.8341500033, Val Loss=0.8308123464
Epoch: 93/1000, Train Loss=0.8344535462, Val Loss=0.8308558152
Epoch: 94/1000, Train Loss=0.8335930227, Val Loss=0.8413351462
Epoch: 95/1000, Train Loss=0.8343806102, Val Loss=0.8324304166
Epoch: 96/1000, Train Loss=0.833207874, Val Loss=0.8331363002
Epoch: 97/1000, Train Loss=0.8331251245, Val Loss=0.8387997207
Epoch: 98/1000, Train Loss=0.8323777796, Val Loss=0.83483608
Epoch: 99/1000, Train Loss=0.8328770558, Val Loss=0.8313714096
Epoch: 100/1000, Train Loss=0.8319580543, Val Loss=0.8321493552
Epoch: 101/1000, Train Loss=0.8312515038, Val Loss=0.8320110128
Epoch: 102/1000, Train Loss=0.8324599113, Val Loss=0.8291412592
Epoch: 103/1000, Train Loss=0.8313488588, Val Loss=0.8343054425
Epoch: 104/1000, Train Loss=0.8323121342, Val Loss=0.8306748157
Epoch: 105/1000, Train Loss=0.8322112006, Val Loss=0.8289548073
Epoch: 106/1000, Train Loss=0.8306941732, Val Loss=0.8281091508
Epoch: 107/1000, Train Loss=0.8314389162, Val Loss=0.8309897752
Epoch: 108/1000, Train Loss=0.8318320519, Val Loss=0.8274521601
Epoch: 109/1000, Train Loss=0.8297542505, Val Loss=0.8301994602
Epoch: 110/1000, Train Loss=0.8318747011, Val Loss=0.8279500462
Epoch: 111/1000, Train Loss=0.8305572336, Val Loss=0.8303613719
Epoch: 112/1000, Train Loss=0.8300696228, Val Loss=0.8368142389
Epoch: 113/1000, Train Loss=0.8311065418, Val Loss=0.8365289172
Epoch: 114/1000, Train Loss=0.8300771955, Val Loss=0.8275281475
Epoch: 115/1000, Train Loss=0.8301443257, Val Loss=0.8296804911
Epoch: 116/1000, Train Loss=0.8286675415, Val Loss=0.8273562647
Epoch: 117/1000, Train Loss=0.8289793175, Val Loss=0.8258069016
Epoch: 118/1000, Train Loss=0.8293859965, Val Loss=0.82909139
Epoch: 119/1000, Train Loss=0.8285224414, Val Loss=0.8341238726
Epoch: 120/1000, Train Loss=0.8296500261, Val Loss=0.8277005184
Epoch: 121/1000, Train Loss=0.8288516597, Val Loss=0.823329355
Epoch: 122/1000, Train Loss=0.8286172458, Val Loss=0.8298706185
Epoch: 123/1000, Train Loss=0.828518013, Val Loss=0.8294067922
Epoch: 124/1000, Train Loss=0.8290725392, Val Loss=0.8290757934
Epoch: 125/1000, Train Loss=0.8288572531, Val Loss=0.8286239647
Epoch: 126/1000, Train Loss=0.8282213252, Val Loss=0.8225664326
Epoch: 127/1000, Train Loss=0.8270077381, Val Loss=0.825803927
Epoch: 128/1000, Train Loss=0.8284300241, Val Loss=0.8240075736
Epoch: 129/1000, Train Loss=0.8279808842, Val Loss=0.8309766054
Epoch: 130/1000, Train Loss=0.8281107197, Val Loss=0.8265720152
Epoch: 131/1000, Train Loss=0.8285394818, Val Loss=0.827301647
Epoch: 132/1000, Train Loss=0.828599113, Val Loss=0.8267474203
Epoch: 133/1000, Train Loss=0.828103275, Val Loss=0.8295452907
Epoch: 134/1000, Train Loss=0.8280178043, Val Loss=0.8222720141
Epoch: 135/1000, Train Loss=0.827671591, Val Loss=0.8309888755
Epoch: 136/1000, Train Loss=0.827698776, Val Loss=0.8241933698
Epoch: 137/1000, Train Loss=0.8281179442, Val Loss=0.8293090661
Epoch: 138/1000, Train Loss=0.8259689684, Val Loss=0.8247467592
Epoch: 139/1000, Train Loss=0.8279949509, Val Loss=0.8231602879
Epoch: 140/1000, Train Loss=0.8272251776, Val Loss=0.8254417891
Epoch: 141/1000, Train Loss=0.827358885, Val Loss=0.8268015896
Epoch: 142/1000, Train Loss=0.8273990874, Val Loss=0.8260815938
Epoch: 143/1000, Train Loss=0.8265858098, Val Loss=0.8263211222
Epoch: 144/1000, Train Loss=0.826289927, Val Loss=0.824710897
Epoch: 145/1000, Train Loss=0.8262125454, Val Loss=0.8230737334
Epoch: 146/1000, Train Loss=0.8268906669, Val Loss=0.8263381634
